id;tracking_code;date;details;invoice_id
1;contextually-based;2019-08-11T21:59:53;Jewelery cutting-edge;1
2;Games;2019-08-12T01:17:05;supply-chains magenta;2
3;encompassing;2019-08-12T07:41:01;Gloves sky blue Oklahoma;3
4;robust Engineer;2019-08-11T14:26:38;Quality-focused;4
5;card Plastic;2019-08-11T13:35:49;mission-critical;5
6;Berkshire Small Plastic Pants Investor;2019-08-12T07:47:35;Granite Berkshire Designer;6
7;Credit Card Account;2019-08-12T11:36:07;24/7 Re-contextualized cross-platform;7
8;invoice withdrawal;2019-08-12T00:41:02;Licensed hacking installation;8
9;Argentine Peso;2019-08-11T16:56:31;neural-net red;9
10;Buckinghamshire Future-proofed deposit;2019-08-12T09:21:28;Yen synthesize Creative;10
